iter	Passed	Remaining
445	1208	1501
446	1212	1499
447	1218	1500
448	1222	1500
449	1225	1497
450	1229	1496
451	1234	1496
452	1236	1492
453	1238	1489
454	1242	1488
455	1245	1485
456	1248	1483
457	1250	1480
458	1253	1477
459	1255	1474
460	1258	1470
461	1260	1467
462	1262	1464
463	1265	1461
464	1268	1458
465	1274	1460
466	1278	1459
467	1281	1456
468	1283	1453
469	1285	1450
470	1288	1447
471	1291	1444
472	1295	1442
473	1297	1440
474	1301	1438
475	1305	1436
476	1308	1434
477	1311	1432
478	1315	1430
479	1319	1429
480	1323	1427
481	1328	1428
482	1331	1425
483	1334	1422
484	1339	1422
485	1342	1419
486	1346	1418
487	1350	1416
488	1353	1414
489	1356	1411
490	1358	1408
491	1361	1406
492	1364	1403
493	1366	1400
494	1369	1396
495	1371	1393
496	1373	1390
497	1381	1392
498	1385	1390
499	1388	1388
500	1393	1388
501	1397	1386
502	1400	1383
503	1402	1380
504	1404	1376
505	1408	1374
506	1410	1371
507	1413	1368
508	1417	1367
509	1419	1364
510	1423	1362
511	1426	1359
512	1428	1356
513	1432	1354
514	1435	1351
515	1438	1349
516	1440	1345
517	1442	1342
518	1444	1339
519	1447	1336
520	1449	1332
521	1454	1331
522	1457	1329
523	1459	1325
524	1463	1323
525	1465	1320
526	1468	1318
527	1471	1315
528	1474	1312
529	1477	1309
530	1480	1307
531	1484	1306
532	1488	1304
533	1491	1301
534	1495	1299
535	1502	1300
536	1504	1297
537	1510	1297
538	1513	1294
539	1517	1292
540	1519	1289
541	1521	1285
542	1523	1282
543	1525	1278
544	1530	1278
545	1533	1275
546	1536	1272
547	1539	1269
548	1541	1266
549	1544	1263
550	1546	1260
551	1549	1257
552	1551	1254
553	1554	1251
554	1560	1251
555	1563	1248
556	1565	1245
557	1568	1242
558	1570	1239
559	1574	1236
560	1576	1234
561	1579	1231
562	1581	1227
563	1583	1224
564	1587	1222
565	1591	1220
566	1594	1217
567	1596	1214
568	1598	1210
569	1601	1208
570	1604	1205
571	1606	1202
572	1608	1198
573	1610	1195
574	1612	1191
575	1616	1189
576	1621	1188
577	1623	1185
578	1625	1181
579	1627	1178
580	1630	1175
581	1632	1172
582	1635	1169
583	1637	1166
584	1639	1162
585	1641	1159
586	1643	1156
587	1646	1153
588	1649	1150
589	1651	1147
590	1653	1144
591	1655	1141
592	1657	1137
593	1660	1135
594	1663	1132
595	1666	1129
596	1668	1126
597	1670	1122
598	1672	1119
599	1675	1116
600	1677	1113
601	1679	1110
602	1681	1106
603	1683	1103
604	1684	1100
605	1686	1096
606	1689	1093
607	1691	1090
608	1693	1087
609	1695	1084
610	1697	1080
611	1700	1077
612	1701	1074
613	1704	1071
614	1707	1068
615	1709	1065
616	1711	1062
617	1713	1058
618	1715	1055
619	1716	1052
620	1720	1050
621	1723	1047
622	1724	1043
623	1727	1040
624	1729	1037
625	1731	1034
626	1733	1031
627	1736	1028
628	1738	1025
629	1740	1022
630	1742	1019
